MSZoning,LotArea,LandContour,LotConfig,Neighborhood,BldgType,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
RL,8450,Lvl,Inside,CollgCr,1Fam,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,196.0,4,PConc,150,856,GasA,1,856,854,1,2,1,4,8,0,548,2,0,61,208500
RL,9600,Lvl,FR2,Veenker,1Fam,6,1976,1976,Gable,CompShg,MetalSd,MetalSd,0.0,3,CBlock,284,1262,GasA,1,1262,0,0,2,0,3,6,1,460,2,298,0,181500
RL,11250,Lvl,Inside,CollgCr,1Fam,7,2001,2002,Gable,CompShg,VinylSd,VinylSd,162.0,4,PConc,434,920,GasA,1,920,866,1,2,1,4,6,1,608,2,0,42,223500
RL,9550,Lvl,Corner,Crawfor,1Fam,7,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0.0,3,BrkTil,540,756,GasA,1,961,756,1,1,0,4,7,1,642,2,0,35,140000
RL,14260,Lvl,FR2,NoRidge,1Fam,8,2000,2000,Gable,CompShg,VinylSd,VinylSd,350.0,4,PConc,490,1145,GasA,1,1145,1053,1,2,1,4,9,1,836,2,192,84,250000
RL,14115,Lvl,Inside,Mitchel,1Fam,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0.0,3,Wood,64,796,GasA,1,796,566,1,1,1,3,5,0,480,2,40,30,143000
RL,10084,Lvl,Inside,Somerst,1Fam,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,186.0,4,PConc,317,1686,GasA,1,1694,0,1,2,0,4,7,1,636,2,255,57,307000
RL,10382,Lvl,Corner,NWAmes,1Fam,7,1973,1973,Gable,CompShg,HdBoard,HdBoard,240.0,3,CBlock,216,1107,GasA,1,1107,983,1,2,1,3,7,2,484,2,235,204,200000
RM,6120,Lvl,Inside,OldTown,1Fam,7,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0.0,3,BrkTil,952,952,GasA,1,1022,752,0,2,0,3,8,2,468,2,90,0,129900
RL,7420,Lvl,Corner,BrkSide,2fmCon,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,0.0,3,BrkTil,140,991,GasA,1,1077,0,1,1,0,3,5,2,205,2,0,4,118000
RL,11200,Lvl,Inside,Sawyer,1Fam,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,3,CBlock,134,1040,GasA,1,1040,0,1,1,0,3,5,0,384,2,0,0,129500
